bibid|container_id|href|title|text
4079753|aspace_1dd891bed588922588e8bff7521061e5|https://archive.org/details/ldpd_12584122_000|Andrew Carnegie Journals, 1917-1919|
4079753|aspace_ad4653c09c95901f1265fc7afc70add9|https://archive.org/details/ldpd_12584130_000|Carnegie Corporation Completed Accounts, 1902-1912|
4079753|aspace_f729fd731b435eb7165f0c1c6d5e4c13|https://archive.org/details/ldpd_12584131_000|Andrew Carnegie Trust & Loan Accounts, 1912-1918|
4079753|aspace_e672841417b8c584f43a511ea72cbb1b|https://archive.org/details/ldpd_12584132_000|Andrew Carnegie Stocks & Bonds, 1916|
4079753|aspace_69810af7b2e1a50639c3699b7bee6e50|https://archive.org/details/ldpd_12584134_000|Andrew and Carnegie Corporation Donations: Library Bilding [sic], 1912-1922|
4079753|aspace_17abd81b856f50f54c035a6f2dbb6d1f|https://archive.org/details/ldpd_12584135_000|Andrew and Carnegie Corporation Donations: Libraries, 1905-1918|
4079753|aspace_cd04ccb421ed994ad9cfa74206e84aee|https://archive.org/details/ldpd_12584147_000|Andrew and Carnegie Corporation Donations: Register of Applications from Educational Institutions, 1911-1920|
4079753|aspace_0e20b72dc1e9a5b17ac0a712d865755e|https://archive.org/details/ldpd_12584144_000|Donations Ledgers - Carnegie Corporation ( British Dominions andColonies), 1920-1940|
4079753|aspace_096560933e373fbbfe8bf7b5c1bfa2fa|https://archive.org/details/ldpd_12584151_000|Carnegie Corporation General Ledger A, 1912-1923|
4079753|aspace_e74ac00034254aa12baf88b90fae59a7|https://archive.org/details/ldpd_12584153_000|Estate of Andrew Carnegie: Subsidiary Ledger, 1919-1920|
4079753|aspace_e03beecbb666a9933422c2175aa1a479|https://archive.org/details/ldpd_12584154_000|Estate of Andrew Carnegie: General Ledger, 1919-1928|
4079753|aspace_8daaf1226753a204685da5c8703b6a57|https://archive.org/details/ldpd_12584155_000|Estate of Andrew Carnegie: Journal, 1919-1931|
4079753|aspace_c320ae6596761946d725dae72c9ceb96|https://archive.org/details/ldpd_12584156_000|Estate of Andrew Carnegie: Creditors Ledger, Financial Rates, 1913-1922|
4079753|aspace_a79bf960fa1b2d1b3f10d422c125e7d3|https://archive.org/details/ldpd_12584157_000|Estate of Andrew Carnegie: Creditors Ledger, Accounts Held, 1919-1921|
4079753|aspace_c0fd586f8cada058182041eb2246abfb|https://doi.org/10.7916/d8-3tyk-ew60|Cartoon "Les rois des trusts", by Fornaro, Le rire N°043,, 28 nov. 1903|
4079753|aspace_bf40e88345683be132e19fb4cd859366|https://doi.org/10.7916/d8-xyag-a018|Flag of Peace, presented by National Society of the Daughters of American Revolution, April 16, 1907|
4079753|aspace_8353e30b0432046d3d132a5bf8b64515|https://doi.org/10.7916/d8-98jv-6p38|Photographs - At desk|
4079753|aspace_32bbd8132451849d16368f52e83a4f07|https://doi.org/10.7916/d8-5s95-5x48|Photographs - Quarter Century Celebration, Aberdeen University, Sept 1906|
4079753|aspace_4dc90002af2fe55d0fc2fb3833ee3d05|https://doi.org/10.7916/d8-tk2m-h580|Photographs - Family convention, Pittsburgh, April 1910|
4079753|aspace_02829acfff8138cf85f60d7dc2a71985|https://doi.org/10.7916/d8-1zmj-p254|Invitation, Dinner for AC, Lotos Club, (Matted with Hero medal), 1909 March 7|
4079753|aspace_8d753582a682273e2d1a1081833f7fcb|https://doi.org/10.7916/d8-fx0m-va12|Concert at Carnegie Hall (Photograph), 1935 Nov 24|
4079753|aspace_4fac8b26ba5c32e93c6455d0b6c64016|https://doi.org/10.7916/d8-e33a-a717|Best Fields for Philanthropy Poster , 1935|
4079753|aspace_fe4c86e1e3dc09bf69ff1c2c98b2fedc|https://doi.org/10.7916/d8-mvz8-n228|Bertram, James|
4079753|aspace_fdf5ffabb255b34b1ad7220f83b74d0e|https://doi.org/10.7916/d8-zrvh-f705|Butler, Nicholas Murray, 1925-45|
4079753|aspace_3924570ee515a3485a51b1b9483a7a47|https://doi.org/10.7916/d8-xq13-1397|Franks, Robert A.|
4079753|aspace_d37e8b78adadec7e940b5c6a81f82ddb|https://doi.org/10.7916/d8-anst-am69|Merriam, John C., Dec. 28, 1938; 1921-38|
4079753|aspace_072cafd7f5cff8c80aa07b42273c78fc|https://doi.org/10.7916/d8-1xmx-8v62|Pritchett, Henry S., 1928; 1911-30|
4079753|aspace_67964909727f4a0d8c51d573666fc578|https://doi.org/10.7916/d8-41h3-z664|Root, Elihu|
4079753|aspace_ff4e67fb1518e69b2624bee5139ce585|https://doi.org/10.7916/d8-h8ee-mr44|Woodward, Robert S., 1911-20|
4079753|aspace_384dc0bbc6e674f49e3571eda81ed391|https://doi.org/10.7916/d8-hxa6-0n56|Inter-University Council for Higher Education - Overseas meeting of colonial and dominion principals|
4079753|aspace_509d298038e2ce97af2a114b1485a8e4|https://doi.org/10.7916/d8-n74k-5636|Lagos University of|
4079753|aspace_daab307f9b50589dc73bd596ac30a9f5|https://doi.org/10.7916/d8-xm3q-xr88|Carnegie House (2 East 91st Street)|
4079753|aspace_eb03802a5bac605d4b3ed0c2ceaef954|https://doi.org/10.7916/d8-aavq-ys90|Monochrome guache on paper, "Andrew Carnegie ain't going to work no more" , 1901|
4079753|aspace_3da7d394a0c2b46dd859c8f5679a3a62|https://doi.org/10.7916/d8-j8pz-cq51|[Anderson Cooper 360, 2006], 2006|
4079753|aspace_7c19d2fa7dc1b0e6bcf531bd295830ea|https://doi.org/10.7916/d8-mag3-k726|[F. W.] de Klerk, April 5, 2004, 4/5/2004|
4079753|aspace_c6b38617ba83a41d6a60be2cb91b710c|https://doi.org/10.7916/d8-jcts-c848|[Florence Martin-Kessler] Interview with Vartan Gregorian, January 11, 2000, 1/11/2000|
4079753|aspace_1e449746d64ea657f0d690f5f6c0d2f6|https://doi.org/10.7916/d8-k1bj-he78|100Kin10 Messaging Seminar - Keynote Address: Bill Clinton, 4/19/2012|
4079753|aspace_f78c06137940421554780742817b2ac1|https://doi.org/10.7916/d8-g2d7-0j60|100Kin10 Messaging Seminar - Session One: The Intersection of Perspective, 4/19/2012|
4079753|aspace_a84220213d142939f540be160d504cdf|https://doi.org/10.7916/D8N31DVH|20/20, 1988|
4079753|aspace_1e4c264f888af7e02dfcdd716786f6ae|https://doi.org/10.7916/d8-nb4x-9597|ABC June 22, 2010 - Carnegie Fellows, 6/22/2010|
4079753|aspace_64098c90f54e233d11bad8e2c45168bc|https://doi.org/10.7916/d8-9cae-tn14|ABC News - Brian Ross Investigates: The Blueberry Children, Carnegie Fellows 2009, 2009|
4079753|aspace_2b8393c894dbd93dc3cb33688a99df39|https://doi.org/10.7916/d8-p93e-5780|ABC World News Tonight - Nuclear Smuggling Investigation, 9/11/2002|
